type,invocationId,item
2,3,2023-10-29T20:29:06.6768259Z
2,3,51D|BingProd|05EB941635E9B6566FEDF78CBC1A119FDEF58AC3F83E97C1F15F7238B0BFEFC8
2,3,Ask me a short question based on world war
2,3,1
2,3,"[{'text': 'Ask me a short question based on world war', 'author': 'user', 'from': {'id': '914798203035285', 'name': None}, 'createdAt': '2023-07-31T20:28:45.0501378+00:00', 'timestamp': '2023-08-01T01:58:39+05:30', 'locale': 'en-us', 'market': 'en-us', 'region': 'us', 'locationInfo': {'country': 'Australia', 'state': 'South Australia', 'city': 'Adelaide'}, 'locationHints': [{'country': 'United States', 'countryConfidence': 8, 'state': 'California', 'city': 'Los Angeles', 'timeZoneOffset': 8, 'sourceType': 1, 'center': {'latitude': 34.05369, 'longitude': -118.24277, 'height': None}, 'regionType': 2}], 'messageId': '491c4238-23d1-409f-a0ca-e2d0218b13f6', 'requestId': '491c4238-23d1-409f-a0ca-e2d0218b13f6', 'nlu': {'scoredClassification': {'classification': 'DEEP_LEO', 'score': None}, 'classificationRanking': [{'classification': 'DEEP_LEO', 'score': None}], 'qualifyingClassifications': None, 'ood': None, 'metaData': None, 'entities': None}, 'offense': 'None', 'feedback': {'tag': None, 'updatedOn': None, 'type': 'None'}, 'contentOrigin': 'cib', 'scores': [{'component': 'UserOffense', 'score': 0.01243165}, {'component': 'suicide_help', 'score': 0.0123361}], 'inputMethod': 'Keyboard'}, {'text': 'Okay, here is a question for you:\n\n**Which country was the first to declare war on Nazi Germany in World War II?**', 'author': 'bot', 'createdAt': '2023-07-31T20:28:54.252252+00:00', 'timestamp': '2023-07-31T20:28:54.252252+00:00', 'messageId': '5f6d0ac6-0e71-4868-a085-5ab238a3c141', 'requestId': '491c4238-23d1-409f-a0ca-e2d0218b13f6', 'offense': 'None', 'adaptiveCards': [{'type': 'AdaptiveCard', 'version': '1.0', 'body': [{'type': 'TextBlock', 'text': 'Okay, here is a question for you:\n\n**Which country was the first to declare war on Nazi Germany in World War II?**\n\n', 'wrap': True}]}], 'sourceAttributions': [], 'feedback': {'tag': None, 'updatedOn': None, 'type': 'None'}, 'contentOrigin': 'DeepLeo', 'suggestedResponses': [{'text': 'What was the date of this declaration?', 'author': 'user', 'createdAt': '2023-07-31T20:29:06.6461102+00:00', 'timestamp': '2023-07-31T20:29:06.6461102+00:00', 'messageId': '0c3dc373-ca05-40bd-8b1f-522361d2684c', 'messageType': 'Suggestion', 'offense': 'Unknown', 'feedback': {'tag': None, 'updatedOn': None, 'type': 'None'}, 'contentOrigin': 'SuggestionChipsFalconService'}, {'text': 'Why did they declare war on Nazi Germany?', 'author': 'user', 'createdAt': '2023-07-31T20:29:06.6461111+00:00', 'timestamp': '2023-07-31T20:29:06.6461111+00:00', 'messageId': 'e2e9e89b-8a7e-4972-937c-4b0fbb274e80', 'messageType': 'Suggestion', 'offense': 'Unknown', 'feedback': {'tag': None, 'updatedOn': None, 'type': 'None'}, 'contentOrigin': 'SuggestionChipsFalconService'}, {'text': 'Who won World War II?', 'author': 'user', 'createdAt': '2023-07-31T20:29:06.6461115+00:00', 'timestamp': '2023-07-31T20:29:06.6461115+00:00', 'messageId': '1b11ef06-1e28-4342-929f-e48bab8ec4db', 'messageType': 'Suggestion', 'offense': 'Unknown', 'feedback': {'tag': None, 'updatedOn': None, 'type': 'None'}, 'contentOrigin': 'SuggestionChipsFalconService'}]}]"
2,3,491c4238-23d1-409f-a0ca-e2d0218b13f6
2,3,"{'value': 'Success', 'message': 'Ask me a short question based on world war', 'serviceVersion': '20230729.30'}"
2,3,True
2,3,{'startTime': '2023-07-31T20:28:45.0466388Z'}
2,3,"{'maxNumUserMessagesInConversation': 30, 'numUserMessagesInConversation': 1, 'maxNumLongDocSummaryUserMessagesInConversation': 50, 'numLongDocSummaryUserMessagesInConversation': 0}"
